Company,Last Name,First Name,Mobile Phone,Phone,Zip,State,City,Address 1,WebSite,E-mail,Contact
Chic Concepts Event Planning & Interior Design,Orozco,Nicolette,+1 (210) 884-2820,+1 (210) 884-2820,78247-2178,TX,San Antonio,15707 Knolltrail,www.chicconceptstx.com,norozco@chicconceptstx.com,Nicolette Orozco
Chicken Scratch Photography,Pawelek,Amanda,+1 (830) 570-5512,+1 (830) 570-5512,78064,TX,Pleasanton,628 Sutton St,www.chickenscratchphotography.com,hello@chickenscratchphotography.com,Amanda Pawelek
Christian Ellis Images,Beauchamp,Anthony,,+1 (210) 373-8660,78006,TX,Boerne,134 Newcourt Place,www.christianellisimages.com,christianellisimages@gmail.com,Anthony Beauchamp
Christian Margain Photography,Margain,Christian,,+1 (210) 860-6356,78209,TX,San Antonio,327 W Sunset Rd. Apt 2143,www.christianmargain.com,info@christianmargain.com,Christian Margain
Christopher Hall - Knights of Columbus Council 7613,Committee,Christopher,+1 (210) 559-3571,+1 (210) 404-9101,78270,TX,San Antonio,PO Box 700552,www.ChristopherHall.org,CHinfo@KofC7613.org,Christopher Hall Operations Committee
"Club at Garden Ridge, The",DeBaun,Kristi,,+1 (210) 651-6505,78266,TX,Garden Ridge,21320 Water Wood Drive,www.GardenRidgeWeddings.com,kristi@theclubatgardenridge.com,Kristi DeBaun
"Club at Sonterra, The",Ramirez,Ninette,,+1 (210) 496-1560,78258,TX,San Antonio,901 Sonterra Blvd.,www.ClubAtSonterra.com,nramirez@clubatsonterra.com,Ninette Ramirez
Coffeecionado,Butler,Patricia,,+1 (210) 618-3654,78204,TX,San Antonio,502 W. Mitchell,https://coffeecionado.coffee/,info@coffeecionado.coffee,Patricia Butler
Courtyard by Marriott SeaWorld Westover Hills,Brewer,Courtney,,+1 (210) 591-6726,78251,TX,San Antonio,11605 State Hwy 151,www.marriott.com/satcw,courtney.brewer@marriott.com,Courtney Brewer
Couture Events,McCarty,Jill,,+1 (830) 481-6275,78130,TX,New Braunfels,944 Dunlap Drive,coutureeventsbyjill.com,jill@coutureeventsbyjill.com,Jill McCarty
Creations Cakes,Martinez,Susie,,+1 (830) 281-3222,78064,TX,Pleasanton,122 N. Bryant,www.creationscakes.com,creationscakes55@yahoo.com,Susie Martinez
Crown Ridge Event Center,Alarcon,Alex,+1 (210) 698-0414,+1 (210) 452-7871,78256,TX,San Antonio,6909 Camp Bullis Road,www.CrownRidgeBanquetHall.com,alex@crownridgebanquethall.com,Alex Alarcon
Cru Vintage Rentals,Love,Laurie,,+1 (210) 364-2663,78015,TX,Boerne,26930 Oleander Chase,www.CruRentals.com,llove@crurentals.com,Laurie Love
"Crystal Room, The",Segovia,Veronica,,+1 (210) 342-2321,78216,TX,San Antonio,10223 Sahara,www.TheOldSanFrancisco.com,veronica@absolutelydelicious.com,Veronica Segovia
Cutting Edge Entertainment,Peene,Ron,+1 (210) 336-8636,+1 (210) 495-3900,78216,TX,San Antonio,10408 Gulfdale,www.CuttingEdgeEntertainment.com,ron@cuttingedgeentertainment.com,Ron Peene
David Pezzat Photographers,Pezzat,David,,+1 (210) 414-2382,78023,TX,Helotes,8939 Saxon Forest,http://www.davidpezzat.com/,info@davidpezzat.com,David Pezzat
De Vinnie's Paradise,Arispe,Irma,+1 (210) 885-1052,+1 (210) 885-1052,78228,TX,San Antonio,415 W. Midcrest Drive,www.devinnies.com,Devinniesparadise@msn.com,Irma Arispe
Debi's Bridal Shop,Gutierrez,Jay,+1 (210) 273-2625,+1 (210) 923-6288,78221,TX,San Antonio,814 S.W. Military Dr.,www.debisbridal.com,Jay@debisbridal.com,Jay Gutierrez
Detailed by Raemie Jones,Jones,Raemie,+1 (210) 827-6065,+1 (210) 736-1153,78219,TX,San Antonio,1935 Shipman Drive,www.RJDetailed.com,Raemie@RJDetailed.com,Raemie Jones
Diamonds & Dreams,Humphrey,Tina,+1 (210) 413-7102,+1 (830) 947-4461,78101,TX,Adkins,754 Fuller Lane,www.diamonds-dreams.com,tinasevents@gmail.com,Tina Humphrey
Diamonds Direct,Mashiach,Almog,,+1 (210) 247-9197,78256,TX,San Antonio,15900 La Cantera Pky. Bldg 18,https://diamondsdirect.com/sanantonio,almog@diamondsdirect.com,Almog Mashiach
"Dominion Country Club, The",Lauzon,Jennifer,,+1 (210) 698-4816,78257,TX,San Antonio,One Dominion Drive,www.The-Dominion.com,jwright@the-dominion.com,Jennifer Lauzon
Dos Kiwis Studio,Miller,Dane,+1 (210) 325-6888,+1 (210) 325-6888,78201,TX,San Antonio,1112 West Ave,www.doskiwis.com,dane@doskiwis.com,Dane Miller
DoubleTree By Hilton Airport,there,No,,+1 (210) 366-2424,78216,TX,San Antonio,37 N.E. Loop 410 @ McCullough,https://doubletree3.hilton.com/en/hotels/texas/doubletree-by-hilton-hotel-san-antonio-airport-SATNSDT/index.html?SEO_id=GMB-DT-S,sandy.clinton@dtsanantonio.com,Sandy Clinton - No longer there
Doubletree San Antonio Downtown,Valle,Christine,,+1 (210) 388-0306,78207,TX,San Antonio,502 W. Cesar Chavez,https://doubletree3.hilton.com/en/hotels/texas/doubletree-by-hilton-hotel-san-antonio-downtown-SATDWDT/index.html,christine.valle@hilton.com,Christine Valle
DPC Event Services,Cheney,David,,+1 (210) 912-2187,78216,TX,San Antonio,14501 Blanco Road,www.dpceventservices.com,info@dpceventservices.com,David Cheney
Dreams Do Come True,Wilson,Francine,,+1 (210) 389-8721,78240,TX,San Antonio,"5460 Babcock Road, Suite 120",www.dreamsdocometruesa.com,francine@dreamsdocometruesa.com,Francine Wilson
Eagle Dancer Ranch,Aguirri,Jason,,+1 (210) 508-0344,78006,TX,Sisterdale,1621 FM 473 l,www.eagledancerranch.com,info@eagledancerranch.com,Jason Aguirri
Eden's Echo Floral Design,McLarty,Erin,,+1 (210) 249-1058,78109,TX,Converse,9703 Fortune Ridge Drive,www.edensecho.com,erin.mclarty@gmail.com,Erin McLarty
Elevate Bartending,Falloon,Gabriele,,+1 (214) 929-1872,78753,TX,Austin,907 Hermitage,http://www.elevatebartending.com/,gabby@elevatebartending.com,Gabriele Falloon
Elite Sound Productions,Vazquez,Efrain,+1 (210) 306-1071,+1 (210) 306-1071,78249,TX,San Antonio,"6391 De Zavala Road, Suite 221",www.elitesoundproductions.com,info@elitesoundproductions.com,Efrain Vazquez
Elliott Hamilton Photography,Hamilton,Elliott,,+1 (210) 680-0318,78250,TX,San Antonio,8514 Timber Briar,www.ElliottHamiltonPhotography.com,ElliottHamiltonPhotography@Outlook.com,Elliott Hamilton
Embassy Suites by Hilton Brooks Hotel,Hernandez,Tara,+1 (210) 982-4024,+1 (210) 534-1000,78235,TX,San Antonio,3201 Sidney Brooks,www.embassysuites.hilton.com/SanAntonio,tara.hernandez@hilton.com,Tara Hernandez
Embassy Suites San Antonio Landmark,Zimmerman,Aaron,+1 (512) 360-7222,+1 (210) 270-0800,78249,TX,San Antonio,5615 Landmark Parkway,www.sanantoniolandmark.embassysuitesbyhilton.com,aaron.zimmerman@hilton.com,Aaron Zimmerman
Emporium By Yarlen,Cavazos,Yaramin,+1 (210) 669-4569,+1 (210) 627-9800,78214,TX,San Antonio,2218 E. Chavaneaux Rd.,www.EmporiumbyYarlen.com,yarlenbridal@ymail.com,Yaramin Cavazos
Evember Floral & Event Design,Rodgers,Angie,,+1 (210) 710-4792,78154,TX,Selma,"9330 Corporate Drive #604,",www.evember.com,angie@evember.com,Angie Rodgers
Event Ignition,Burton,Frank,,+1 (210) 379-8517,78238,TX,San Antonio,"5405 Bandera Road, Ste 130",www.eventignition.com,frank@eventignition.com,Frank Burton
Events by Touch of Elegance,Garza,Mario,+1 (210) 273-9948,+1 (830) 620-7018,78219,TX,San Antonio,3978 Interstate 35 Frontage Road,www.touchofelegancedecor.com,info@touchofelegancedecor.com,Mario & Sandra Garza
Everlasting Elopements,Taylor-Esparza,Kari,,+1 (210) 860-5680,78232,TX,San Antonio,14307 Turtle Rock Dr.,www.Everlastingelopements.com,info@everlastingelopements.com,Kari Taylor-Esparza
Evrafter Studio,Kittrell,Matt,+1 (210) 707-1380,+1 (210) 951-6564,78006,TX,Boerne,136 Old San Antonio #104,https://www.evraftr.com,matt@evraftr.com,Matt Kittrell
Fair Oaks Ranch Golf & Country Club,Johnson,Deedy,,+1 (210) 582-6700,78015,TX,Fair Oaks Ranch,7900 Fair Oaks Pkwy,www.FairOaksClub.com,deedy.johnson@clubcorp.com,Deedy Johnson
"Fairmount Hotel, The",Harber,Sara,,+1 (210) 224-8800,78205,TX,San Antonio,401 S. Alamo St.,www.thefairmounthotel-sanantonio.com,sara@siloelevatedcuisine.com,Sara Harber
"Faithful Maker, The",Garcia,Caroline,,+1 (210) 420-1564,78230,TX,San Antonio,9898 Colonnade Blvd Apt#9107,https://thefaithfulmaker.com/,thefaithfulmaker@gmail.com,Caroline Garcia
Feedback Catering,Ramirez-Sotelo,Juan,+1 (210) 387-4315,+1 (210) 387-4315,78219,TX,San Antonio,3414 E. Commerce,www.feedbackcatering.com,sales@feedbackcatering.com,Juan Carlos Ramirez-Sotelo
"Firefly Farm, The",Skogman,Payton,,+1 (512) 648-1285,78676,TX,Wimberley,13633 FM 2325,http://www.fireflyfarmevents.com/,info@fireflyfarmevents.com,Payton Skogman
First Protestant Church,Schaeffer,Doreen,,+1 (830) 609-7729,78130,TX,New Braunfels,172 W. Coll St.,www.firstprotestant.com,doreen@firstprotestant.com,Doreen Schaeffer
Five Star Wedding Gown Specialists,Thum,Sharlene,+1 (210) 771-3777,+1 (210) 771-3777,78240,TX,San Antonio,"9806 Huebner Rd., Ste 1",www.FiveStarWeddingGown.com,sharlenethum@yahoo.com,Sharlene Thum
Flair Floral,De Los Santos,Oscar,,+1 (210) 363-8472,78219,TX,San Antonio,"1107 AT&T Center Pkwy, Ste 111",,odelossantos@therkgroup.com,Oscar De Los Santos
Flair Floral,Flores,Michelle,,+1 (210) 223-2742,78219,TX,San Antonio,"1107 AT&T Center Pkwy, Ste 111",www.therkgroup.com/flair,mflores@therkgroup.com,Michelle Flores
Floral Elegance,Pedraza,Adrianna,,+1 (210) 434-1133,78228,TX,San Antonio,1039 Donaldson Ave,www.safloralelegance.com,bloom@safloralelegance.com,Adrianna Pedraza
Four 40 Entertainment,Hinojosa,Jesus,,+1 (213) 944-3937,78238,TX,San Antonio,"6904 Bandera Road, Suite 3",www.Four40entertainment.com,jesus_hinojosa_g@yahoo.com,Jesus Hinojosa
Freesia Designs,Huisman,Jessica,+1 (210) 287-7249,+1 (210) 362-1998,78216,TX,San Antonio,151 W. Rhapsody,www.freesiadesignsevents.com,jessica@freesiadesigns.com,Jessica Huisman
Fresh Horizons Catering,Hasslocher,Caryn,,+1 (210) 226-5919,78215,TX,San Antonio,2020 Broadway,www.FreshHorizons.com,caryn@freshhorizons.com,Caryn Hasslocher
from His garden Event Planning and Floral Decor,Suarez,Lizzette,,+1 (210) 275-2163,78245,TX,San Antonio,P.O. Box 760771,fromhisgardenflowers.com,Lizzette@fromhisgardenflowers.com,Lizzette Suarez
Frosted Delights by Joyce,Sosa,Joyce,+1 (361) 944-5848,+1 (361) 944-5848,78259,TX,San Antonio,17911 Red River Sky,www.frosteddelightsbyjoyce.com,frosteddelights@att.net,Joyce Sosa
Future Sounds,Koval,Chris,,+1 (210) 945-9601,78213,TX,San Antonio,11314 Crest Park,www.future-sounds.com,events@future-sounds.com,Chris Koval
Gaines Entertainment,Gaines,Winston,,+1 (210) 995-3626,78270,TX,San Antonio,P.O. Box 702037,www.gainesentservices.com,winston@gainesentservices.com,Winston Gaines
"Gala Event Catering & Events, A",Ibarra,Jose,,+1 (210) 264-1395,78238,TX,San Antonio,5317 Jackwood Drive,,jose@agalaeventcatering.com,Jose Ibarra
Gardens of Cranesbury View,Templeton,Amy,,+1 (830) 515-9231,78132,TX,New Braunfels,1470 S. Cranes Mill Rd.,www.cranesburyview.com,amy@cranesburyview.com,Amy Templeton
"Girl General, The",Gibson-George,Anne,,+1 (210) 495-6200,78230,TX,San Antonio,"11255 Huebner Road, Suite 204",https://thegirlgeneral.com/,paper@girlgeneral.com,Anne Gibson-George
Got It Covered Events,Valadez,Martha,+1 (210) 884-0812,+1 (210) 967-3183,78238-4506,TX,San Antonio,1868 Grandstand Drive,www.gotitcoveredsa.com,martha@gotitcoveredsa.com,Martha Valadez
Great Events and Rentals,Cambell,Allison,,+1 (210) 340-2007,78217,TX,San Antonio,9315 Broadway Ste 104,www.greateventrentals.com,allison@greateventrentals.com,Allison Cambell
Greg Reese Events,Reese,Greg,+1 (210) 836-6432,+1 (210) 758-8001,78216,TX,San Antonio,402 West Rhapsody,www.GregReeseEvents.com,Greg@GregreeseEvents.com,Greg Reese
Gruene Estate,Bluntzer,Nolan,+1 (830) 358-6363,+1 (830) 609-8664,78130,TX,New Braunfels,532 Rock Street,grueneestate.com,nbluntzer@gmail.com,Nolan Bluntzer
Guadalajara Grill,Hinojosa,Tina,+1 (210) 710-8241,+1 (210) 710-8241,78205,TX,San Antonio,301 South Alamo,www.guadalajaragrill.us,info@guadalajaragrill.us,Tina Hinojosa
Guenther House,Maldonado,Nicole,+1 (210) 744-2687,+1 (210) 351-6306,78204,TX,San Antonio,205 E. Guenther,www.guentherhouse.com,NMaldonado@chg.com,Nicole Maldonado
Habana Cowboy,Molina,Eric,,+1 (210) 837-0100,78253,TX,San Antonio,5010 Segovia Way,www.habanacowboy.com,eric@habanacowboy.com,Eric Molina
Hacienda Santa Maria,Pozo,Gonzalo,+1 (210) 685-3123,+1 (210) 227-2121,78212,TX,San Antonio,2121 N. St. Mary's Street,www.HaciendaSantaMaria.net,info@haciendasantamaria.net,Gonzalo Pozo
Hair and Makeup by Ana,Salazar,Francisco & Ana,+1 (210) 421-9901,+1 (210) 437-3911,78216,TX,San Antonio,740 Barchester Drive,www.HairandMakeupbyAna.com,hairandmakeupbyana@gmail.com,Francisco & Ana Salazar
Hannah Charis Photography,Droll,Hannah,,+1 (210) 439-1268,78261,TX,San Antonio,26719 Redstone Hill,www.hannahcharis.com,info@hannahcharis.com,Hannah Charis Droll
Harper Hill Ranch,Stanfield,Amy,,+1 (512) 214-1614,78155,TX,Seguin,12300 Huber Rd,https://www.harperhillranch.com,amy@harperhillranch.com,Amy Stanfield
Harvey Jacobs Catering,McBee,Levi,+1 (210) 827-7548,+1 (830) 779-2277,78121,TX,La Vernia,484 Bluebonnet Road,www.hjcatering.com,hlmcbee@gmail.com,Levi McBee
Hayes Hollow at Hidden Falls,,,,,78070,TX,Spring Branch,2222 Bridal Veil,,,
Heavenly BBQ,Ortiz,Loretta,,+1 (210) 496-9090,78213,TX,San Antonio,"5005 West Ave., Ste 1103",www.HeavenlyG.com,info@heavenlyg.com,Loretta Ortiz
"Heavenly Gourmet, LLC",Ortiz,Loretta,+1 (210) 386-3163,+1 (210) 496-9090,78213,TX,San Antonio,"5005 West Ave., Ste 1103",www.HeavenlyG.com,loretta@heavenlyg.com,Loretta Ortiz
HEB - True TX BBQ,Irvin,Kristin,,,,,,,,irvin.kristin@heb.com,Kristin Irvin
HEB Bakery and Cakes,Reibeling,Nadine,,+1 (210) 938-0941,78204,TX,San Antonio,641 S. Flores,https://www.heb.com/static-page/Wedding-Cakes,reibeling.nadine@heb.com,Nadine Reibeling
HEB Marketing,Shipp,Amber,+1 (210) 232-8764,+1 (210) 938-7683,78204,TX,San Antonio,641 S. Flores St.,https://www.heb.com/static-page/Oaks-Crossing,shipp.amber@heb.comBloom,Amber Shipp
HEB Restuarants & Catering,Evans,Randy,+1 (713) 263-4556,+1 (210) 938-0932,78258,TX,San Antonio,23635 Wilderness Oak,https://www.heb.com/static-page/Oaks-Crossing,evans.randy@heb.com,Randy Evans
HEB Wedding Services,Hajek,Amanda,+1 (361) 522-7169,+1 (210) 938-0604,78204,TX,San Antonio,641 South Flores St. 2nd Floor,www.heb.com/blooms,Hajek.amanda@heb.com,Amanda Hajek
Hillside Boutique Hotel,Berryhill,Raquel,,+1 (830) 538-3200,78009,TX,Castroville,1651 US Highway 90 West,https://www.hillsidetexas.com/,celebrate@hillsidetexas.com,Raquel Berryhill
Hilton Palacio del Rio,McCurdy,Sandrine,+1 (210) 331-0159,+1 (210) 224-3393,78205-3213,TX,San Antonio,200 S. Alamo Street,,Sandrine.McCurdy@Hilton.com,Sandrine McCurdy
